Results for Run #1: Cost = 35168, C = 10000
Results for Run #2: Cost = 10784, C = 10
Results for Run #3: Cost = 216130, C = 10000
Results for Run #4: Cost = 216130, C = 10000
Results for Run #5: Cost = 35164, C = 10000
Results for Run #6: Cost = 10782, C = 10
Results for Run #7: Cost = 216226, C = 10000
Results for Run #8: Cost = 216226, C = 10000
Results for Run #9: Cost = 35858, C = 10000
Results for Run #10: Cost = 10456, C = 10
Results for Run #11: Cost = 218872, C = 10000
Results for Run #12: Cost = 218872, C = 10000
Results for Run #13: Cost = 35658, C = 10000
Results for Run #14: Cost = 10456, C = 10
Results for Run #15: Cost = 214332, C = 10000
Results for Run #16: Cost = 214332, C = 10000
Results for Run #17: Cost = 35750, C = 10000
Results for Run #18: Cost = 10476, C = 10
Results for Run #19: Cost = 212932, C = 10000
Results for Run #20: Cost = 212932, C = 10000
Results for Run #21: Cost = 35750, C = 10000
Results for Run #22: Cost = 10480, C = 10
Results for Run #23: Cost = 217646, C = 10000
Results for Run #24: Cost = 217646, C = 10000
Results for Run #25: Cost = 36358, C = 1000
Results for Run #26: Cost = 10144, C = 10
Results for Run #27: Cost = 200268, C = 10000
Results for Run #28: Cost = 200268, C = 10000
Results for Run #29: Cost = 36360, C = 10000
Results for Run #30: Cost = 10354, C = 10
Results for Run #31: Cost = 197460, C = 10000
Results for Run #32: Cost = 197460, C = 10000
Results for Run #33: Cost = 36838, C = 10000
Results for Run #34: Cost = 10132, C = 10
Results for Run #35: Cost = 215834, C = 10000
Results for Run #36: Cost = 215834, C = 10000
Results for Run #37: Cost = 36444, C = 10000
Results for Run #38: Cost = 10252, C = 10
Results for Run #39: Cost = 218734, C = 10000
Results for Run #40: Cost = 218734, C = 10000
Results for Run #41: Cost = 35350, C = 10000
Results for Run #42: Cost = 10916, C = 10
Results for Run #43: Cost = 235316, C = 10000
Results for Run #44: Cost = 235316, C = 10000
Results for Run #45: Cost = 35348, C = 10000
Results for Run #46: Cost = 10916, C = 10
Results for Run #47: Cost = 235924, C = 1000
Results for Run #48: Cost = 235924, C = 1000
Results for Run #49: Cost = 35352, C = 100
Results for Run #50: Cost = 11174, C = 0
Results for Run #51: Cost = 287660, C = 100
Results for Run #52: Cost = 287660, C = 100
Results for Run #53: Cost = 36042, C = 10000
Results for Run #54: Cost = 11048, C = 1
Results for Run #55: Cost = 214116, C = 10000
Results for Run #56: Cost = 214116, C = 10000
Results for Run #57: Cost = 35946, C = 10000
Results for Run #58: Cost = 11046, C = 1
Results for Run #59: Cost = 214412, C = 10000
Results for Run #60: Cost = 214412, C = 10000
