,Iteration,cv_mean_cost,class_weight,criterion,fill_na,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,sampling
hyperopt,1,10090.0,balanced,log_loss,-1,,sqrt,190.59676871695225,278.4367323376805,174.45430783134137,
sklearn,1,10090.0,balanced,log_loss,-1,,sqrt,190.0,174.0,174.0,
hyperopt,2,10160.0,balanced_subsample,log_loss,0,992.0,,106.77352687829011,379.2930740601847,345.17199936470007,
sklearn,2,10160.0,balanced_subsample,log_loss,0,992.0,,106.0,345.0,345.0,
hyperopt,3,10638.0,balanced_subsample,entropy,most_frequent,106.0,,445.517985782715,444.4908615132643,437.96179469760034,
sklearn,3,10638.0,balanced_subsample,entropy,most_frequent,106.0,,445.0,437.0,437.0,
hyperopt,4,14808.0,,entropy,-1,,,446.80773330956515,130.9660725116478,401.0191080989069,smote
sklearn,4,14808.0,,entropy,-1,,,446.0,401.0,401.0,smote
hyperopt,5,10514.0,balanced,entropy,0,232.0,sqrt,,392.0559575372992,299.29766147499464,smote
sklearn,5,10514.0,balanced,entropy,0,232.0,sqrt,,299.0,299.0,smote
hyperopt,6,11852.0,balanced_subsample,gini,-10000,942.0,sqrt,497.8901674982757,7.215646806601131,441.6911135428119,
sklearn,6,11852.0,balanced_subsample,gini,-10000,942.0,sqrt,497.0,441.0,441.0,
hyperopt,7,10928.0,,gini,-1,328.0,log2,395.8071976055932,181.10253814173987,214.5289678895451,smote
sklearn,7,10928.0,,gini,-1,328.0,log2,395.0,214.0,214.0,smote
hyperopt,8,94820.0,,gini,most_frequent,,sqrt,,326.87534310323315,331.138578325775,
sklearn,8,94820.0,,gini,most_frequent,,sqrt,,331.0,331.0,
hyperopt,9,11652.0,balanced_subsample,log_loss,-10000,,log2,430.9699264016907,227.96467408660058,302.30199088961126,
sklearn,9,11652.0,balanced_subsample,log_loss,-10000,,log2,430.0,302.0,302.0,
hyperopt,10,10212.0,,gini,0,256.0,sqrt,106.10310645122097,353.18927219541433,275.0114610814709,smote
sklearn,10,10212.0,,gini,0,256.0,sqrt,106.0,275.0,275.0,smote
hyperopt,11,10886.0,balanced_subsample,entropy,-10000,614.0,sqrt,133.62882382414162,111.91088267896724,245.853504763186,
sklearn,11,10886.0,balanced_subsample,entropy,-10000,614.0,sqrt,133.0,245.0,245.0,
hyperopt,12,11826.0,balanced_subsample,log_loss,0,,sqrt,235.1302659232997,280.9013911704353,457.3187539439407,
sklearn,12,11826.0,balanced_subsample,log_loss,0,,sqrt,235.0,457.0,457.0,
hyperopt,13,14238.0,,entropy,most_frequent,542.0,,,258.40188892848596,486.84294315155836,smote
sklearn,13,14238.0,,entropy,most_frequent,542.0,,,486.0,486.0,smote
hyperopt,14,11390.0,balanced,gini,-10000,,log2,405.81636634893357,184.93826391551002,276.5642173959132,
sklearn,14,11390.0,balanced,gini,-10000,,log2,405.0,276.0,276.0,
hyperopt,15,11156.0,balanced,entropy,-1,,log2,,152.84231188452065,436.63626011705867,smote
sklearn,15,11156.0,balanced,entropy,-1,,log2,,436.0,436.0,smote
hyperopt,16,10728.0,balanced,entropy,-1,406.0,sqrt,,232.37114181602675,365.6657943745758,smote
sklearn,16,10728.0,balanced,entropy,-1,406.0,sqrt,,365.0,365.0,smote
hyperopt,17,9632.0,balanced,entropy,-10000,286.0,sqrt,114.45338004601724,464.7624911131799,59.84844429415247,smote
sklearn,17,9632.0,balanced,entropy,-10000,286.0,sqrt,114.0,59.0,59.0,smote
hyperopt,18,11286.0,,gini,0,,log2,232.4091773512369,496.6449544372292,335.72612352199167,smote
sklearn,18,11286.0,,gini,0,,log2,232.0,335.0,335.0,smote
hyperopt,19,11508.0,balanced_subsample,entropy,most_frequent,,sqrt,392.5532217381446,323.23456395521583,422.81082265113344,
sklearn,19,11508.0,balanced_subsample,entropy,most_frequent,,sqrt,392.0,422.0,422.0,
hyperopt,20,10590.0,balanced_subsample,gini,-10000,,sqrt,,164.00451203396946,248.63421817956157,smote
