run_id,cv_mean_cost,colsample_bytree,gamma,grow_policy,learning_rate,max_depth,min_child_weight,reg_alpha,scale_pos_weight,subsample
1,13870.0,0.9464443542625757,0.36766212132988446,lossguide,0.11097686698890691,39,9,0.0385441955250944,59,0.5329805453420119
2,27170.0,0.7889286076422677,0.2284080836901078,lossguide,0.05433909023903662,14,5,0.02844289953523578,1,0.8675329816443347
3,25558.0,0.5920051008137326,0.2882592663547781,depthwise,0.09979415724814564,74,1,0.023285493929599044,1,0.8860890147716234
4,27656.0,0.8939646169127522,0.19237808805872203,lossguide,0.04296839012312367,11,2,0.01713444539766409,1,0.953907926251762
5,26670.0,0.8060155885224669,0.609154407251676,lossguide,0.08954565553850875,77,10,0.003410467420835206,1,0.9659860345984186
6,26514.0,0.5269546360368764,0.36815024697696697,depthwise,0.17702491056981248,7,9,0.018896208966404995,1,0.5069757864877985
7,25424.0,0.710096840000566,0.12221135227079538,lossguide,0.5376118454831808,81,3,0.003981303884912618,1,0.6171810430607103
8,23410.0,0.8395344182827148,0.5056194912102797,lossguide,0.4241905667200654,66,4,0.04914085568652225,1,0.8083891785008288
9,31172.0,0.9593008889887629,0.529413224654702,lossguide,0.019291425317745733,18,2,0.00908064256653819,1,0.9745081603438082
10,38284.0,0.5002010124456787,0.2940219415894791,depthwise,0.06326096697022021,3,3,0.04059293488602699,1,0.9750880596235398
11,23044.0,0.9883795745155298,0.38998742895596894,lossguide,0.7257844842002013,78,8,0.04374808224779491,1,0.7783265940975782
12,18562.0,0.6882901573728872,0.24438095589799363,depthwise,0.43039434182075714,73,3,0.03442066261929717,59,0.9578031748831373
13,24568.0,0.9868917691791612,0.14768671163268973,lossguide,0.16043699364913294,8,7,0.02847472063726879,1,0.8207831044731688
14,18282.0,0.8023580504870265,0.40500504218479305,depthwise,0.19672105098203932,27,1,0.00804857184078044,59,0.6950038570706232
15,25758.0,0.9144229039903464,0.16251196928955008,lossguide,0.5604311320155688,52,10,0.023344001138165316,1,0.7429953335484549
16,24974.0,0.7873557523540511,0.6871906082112638,lossguide,0.15461781602089592,22,3,0.01725860255776075,1,0.8021552414599866
17,16808.0,0.8140380991536752,0.17766880418746595,lossguide,0.4402056061822108,20,7,0.01125199789070423,59,0.7747739607542813
18,18994.0,0.642788140847847,0.4411195949657896,lossguide,0.7278147919253511,86,7,0.02962559343828984,59,0.9630907133532268
19,26526.0,0.7934166703280414,0.15435495295556703,lossguide,0.6366533131026261,13,3,0.01561349188509585,1,0.959366717816803
20,26212.0,0.87501088185133,0.6959598674443236,lossguide,0.18748734176921375,30,8,0.04581527767341754,1,0.6974378064617774
21,17226.0,0.9291569182145212,0.691791448165516,depthwise,0.3753895885588602,31,8,0.045481776247577856,59,0.981631264220356
22,20234.0,0.8775410942338401,0.29430457293631546,depthwise,0.468767231602221,16,1,0.01285591468910981,59,0.5869778333402322
23,19382.0,0.8490286242236516,0.47985292847965394,lossguide,0.6234458656671322,52,7,0.00554456503720146,59,0.5631647597198186
24,25964.0,0.9322397150272999,0.46784281785172555,lossguide,0.12602563203810235,70,6,0.009648136600955643,1,0.5675395790233657
25,17578.0,0.6613404984183733,0.4990599065674362,depthwise,0.023746389611283045,89,2,0.024979208533944305,59,0.7528310828384484
26,14644.0,0.8353943953937937,0.7217481768358395,depthwise,0.06181638635222452,89,5,0.03642928339872981,59,0.5107624026370989
27,24090.0,0.7254369682066746,0.26963633675011195,depthwise,0.36989538209340356,96,7,0.010409721920439576,1,0.9739851056088404
28,18280.0,0.6910513760157586,0.25016002443818286,lossguide,0.45868380162346445,98,1,0.012401677918861537,59,0.9135577355853662
29,18228.0,0.7054056749610929,0.44674151889336394,lossguide,0.43095006344399617,88,7,0.04258359374681835,59,0.5075094903710612
30,16464.0,0.7007397917347703,0.7174597900462157,depthwise,0.24484818289839896,15,6,0.02079243591337637,59,0.5880981277875277
31,19614.0,0.6586919729791385,0.42048873580408486,depthwise,0.7415759542652122,11,2,0.030834253357761812,59,0.6660317871834185
32,24432.0,0.8109596839601507,0.4513903307353686,depthwise,0.4390114622418897,9,3,0.011683306961962504,1,0.5654984224054584
33,18370.0,0.7151236354106322,0.5975653178865661,depthwise,0.2913044677414273,65,2,0.005098362971289872,59,0.904745346063291
34,24414.0,0.9869010389636261,0.1294747235735246,depthwise,0.4177016821472436,63,6,0.02579285084842649,1,0.6723683263416467
35,18802.0,0.8389004457171556,0.1909779774746144,lossguide,0.5615474788708116,24,5,0.02385704935248912,59,0.9700537411666836
36,19320.0,0.5992849442135555,0.6150623307674125,lossguide,0.5052323411553566,59,1,0.007633582204658163,59,0.79100708997354
37,8852.0,0.7133505046740164,0.11937088281855562,lossguide,0.20604047267047895,3,8,0.031090311587020775,59,0.939415992205922
38,9656.0,0.6716731198872115,0.674031559282625,lossguide,0.059087777477046764,2,9,0.02720050594069691,59,0.9223672226961109
39,25604.0,0.8988194019792832,0.451512323240627,lossguide,0.2838623064564387,62,10,0.03270686734853722,1,0.9526961593543246
40,18116.0,0.9399991442817159,0.3911871179232718,lossguide,0.4759909551959577,83,6,0.0072272770062329905,59,0.7299401329084034
41,15296.0,0.951920977913186,0.6798883168012227,lossguide,0.1655287673369813,10,8,0.0375763908567622,59,0.7731734080101866
42,19078.0,0.8313599061876311,0.3454298217482115,depthwise,0.5670391097667222,90,1,0.011102456989996136,59,0.8993017955760196
43,29876.0,0.6351041310148788,0.4499760512819903,depthwise,0.059236996202045054,15,10,0.025967591218301653,1,0.6428594258670738
44,24482.0,0.6261833507522949,0.5239942733413024,lossguide,0.2026331729481203,49,4,0.03926480141108095,1,0.7451267613099639
45,17340.0,0.9274489713487012,0.3348196631375537,depthwise,0.6055183771700756,74,10,0.001116521399590309,59,0.7995551538229392
46,24570.0,0.7638573231543733,0.4711555647703101,depthwise,0.15314136914126253,32,2,0.016218122986309324,1,0.5077666377754179
47,17204.0,0.901080542002299,0.5145937146387897,depthwise,0.4832010518511557,73,5,0.043646118820005554,59,0.7967407040983185
48,17174.0,0.7862442585958032,0.1821046752791774,lossguide,0.3982560287515629,5,5,0.04223548038010348,59,0.7168381744947292
49,24590.0,0.8665712626437556,0.5486329820408443,depthwise,0.6943578980955195,72,7,0.026922029629727187,1,0.9036802644424207
50,24890.0,0.7595058137320279,0.5210371098526759,lossguide,0.20483961016046212,23,9,0.04333041370832565,1,0.6576224015476865
51,27550.0,0.8098445927083054,0.2152051998282504,lossguide,0.05433909023903662,14,5,0.007788380401465327,1,0.8675329816443347
52,17048.0,0.8088391153453639,0.17766880418746595,depthwise,0.43755761755266975,27,8,0.011336484649290896,59,0.7416537290301009
53,18484.0,0.8775410942338401,0.2952083607247389,depthwise,0.468767231602221,18,1,0.01285591468910981,59,0.5869778333402322
54,25954.0,0.9089661585776921,0.46784281785172555,lossguide,0.08983531094829965,74,6,0.0036393595885235693,1,0.5772894042316711
55,26066.0,0.8499548557668326,0.4758631353282546,depthwise,0.6234458656671322,52,7,0.010839484033753828,1,0.6146971389577995
56,15356.0,0.8389004457171556,0.7327650547202267,lossguide,0.09036800876026112,36,5,0.017101465529016056,59,0.8071935810979766
57,18792.0,0.6882901573728872,0.24438095589799363,depthwise,0.43039434182075714,73,3,0.03442066261929717,59,0.9515219804354684
58,18124.0,0.9291569182145212,0.691791448165516,depthwise,0.047204110756483536,31,2,0.045481776247577856,59,0.981631264220356
59,25562.0,0.5914908874367275,0.2882592663547781,depthwise,0.09979415724814564,74,1,0.030948562479719853,1,0.8860890147716234
60,24862.0,0.8023580504870265,0.40500504218479305,depthwise,0.19672105098203932,27,1,0.00804857184078044,1,0.6950038570706232
61,32586.0,0.5002010124456787,0.2940219415894791,lossguide,0.18539195979191228,2,3,0.03912645546662558,1,0.9934501953128658
62,33710.0,0.6286815953362339,0.4742525877979956,lossguide,0.153688856420979,2,2,0.02610574548418739,1,0.9223672226961109
63,16416.0,0.6007921703881446,0.5486329820408443,lossguide,0.5061941208974967,72,7,0.0071787460235259535,59,0.7923230233621059
64,25724.0,0.9000423240160913,0.36413808956627913,depthwise,0.28403541687490047,38,9,0.0385441955250944,1,0.5405740889498016
65,32266.0,0.6613404984183733,0.4990599065674362,depthwise,0.013941771463428468,28,2,0.024979208533944305,1,0.7528310828384484
66,16748.0,0.9511585158437469,0.6798883168012227,lossguide,0.4686156245441807,12,6,0.033820662299705886,59,0.773504928313209
67,25710.0,0.6351041310148788,0.4499760512819903,depthwise,0.42353803832912773,15,4,0.04957390219049643,1,0.6428594258670738
68,18204.0,0.9781563212230489,0.15213379391832438,lossguide,0.7355232789792385,86,7,0.02962559343828984,59,0.9628504080889579
69,18164.0,0.6910513760157586,0.25016002443818286,lossguide,0.45868380162346445,98,2,0.012401677918861537,59,0.9002490799433063
70,23816.0,0.7865690556760341,0.3454298217482115,depthwise,0.5670391097667222,97,1,0.011102456989996136,1,0.7162069313652104
71,25594.0,0.7595058137320279,0.5210371098526759,depthwise,0.19645838019798914,21,9,0.04333041370832565,1,0.6596024841812388
72,27408.0,0.7933943288484917,0.11937088281855562,depthwise,0.20604047267047895,3,8,0.031714410025482885,1,0.939415992205922
73,16562.0,0.7007397917347703,0.5801905795223311,depthwise,0.24802549030728122,15,6,0.005849197590383184,59,0.5880981277875277
74,24270.0,0.6977503810727054,0.3913634411142037,lossguide,0.43790279069965954,81,8,0.04374808224779491,1,0.5195950105517133
75,17998.0,0.710096840000566,0.1250289045109255,lossguide,0.4797638443705207,81,3,0.0035344103788723935,59,0.6150474347391774
76,30758.0,0.9383810191852197,0.5426178561366075,lossguide,0.019291425317745733,18,2,0.028136164633569966,1,0.9745081603438082
77,16442.0,0.9196218859696761,0.16251196928955008,lossguide,0.5817145044901417,52,9,0.023259514388820277,59,0.7761155652726355
78,17206.0,0.901080542002299,0.5136899271056414,depthwise,0.4832010518511557,71,5,0.043646118820005554,59,0.7967407040983185
79,25966.0,0.8060155885224669,0.609154407251676,lossguide,0.12573597662831265,77,10,0.01051936127207471,1,0.9793205430337705
80,18570.0,0.8100334524169697,0.455380123886768,lossguide,0.5096530800825166,7,3,0.011683306961962504,59,0.5654984224054584
81,19098.0,0.7873557523540511,0.13891323271964973,depthwise,0.5754248393377832,29,3,0.024014186381233874,59,0.87592898095375
82,23874.0,0.6186845484244967,0.5239942733413024,depthwise,0.2026331729481203,49,4,0.03926480141108095,1,0.7513930479429197
83,24406.0,0.8939646169127522,0.19237808805872203,lossguide,0.3714379177446837,14,8,0.01713444539766409,1,0.953907926251762
84,20758.0,0.6772672894730065,0.42048873580408486,depthwise,0.7440280844001329,11,2,0.023171184807640927,59,0.6637016500325542
85,14566.0,0.8262159374138831,0.7478252007910814,depthwise,0.06181638635222452,89,5,0.03642928339872981,59,0.5107624026370989
86,29678.0,0.5269546360368764,0.36815024697696697,lossguide,0.06541762371062246,9,9,0.018896208966404995,1,0.5017360326446638
87,30284.0,0.7638573231543733,0.6709341351127065,depthwise,0.05854031275972147,29,8,0.020102645969816434,1,0.5077666377754179
88,26318.0,0.8650645421347736,0.6210744400499751,depthwise,0.6926143007417475,62,1,0.027376954966395126,1,0.9023643308503443
89,26382.0,0.9355755990299137,0.3668150702173162,lossguide,0.11080376866065612,62,10,0.03270686734853722,1,0.9454830118742128
90,15386.0,0.87501088185133,0.6959598674443236,lossguide,0.2012152508436727,91,8,0.04581527767341754,59,0.6974378064617774
91,26478.0,0.9876632808354191,0.13901725198893689,depthwise,0.12947865708323297,61,8,0.02625325228599147,1,0.6720368060387129
92,13738.0,0.8395344182827148,0.5056194912102797,lossguide,0.06296803543751069,66,9,0.025015133680146486,59,0.7814517452479547
93,14308.0,0.649802565992395,0.43768305815102154,lossguide,0.1443730335117981,8,7,0.02847472063726879,59,0.8210206424465218
94,17024.0,0.7254369682066746,0.26963633675011195,depthwise,0.36989538209340356,96,7,0.010409721920439576,59,0.9739851056088404
95,17696.0,0.8310351091074002,0.1821046752791774,lossguide,0.32006177876435804,13,5,0.04223548038010348,59,0.8957687615640295
96,24218.0,0.9274489713487012,0.34680329303828683,lossguide,0.6138968247698051,70,10,0.001116521399590309,1,0.8104863128658535
